mode,iteration,cells,iter_per_sec
v1,10950,222,1.020408
v1,11000,228,1.0
v1,11050,236,0.943396
v1,11100,239,0.943396
v1,11150,241,0.909091
v1,11200,245,0.909091
v1,11250,251,0.877193
v1,11300,262,0.847458
v1,11350,265,0.793651
v1,11400,270,0.78125
v1,11450,277,0.757576
v1,11500,286,0.735294
v1,11550,289,0.724638
v1,11600,292,0.714286
v1,11650,298,0.694444
v1,11700,307,0.675676
v1,11750,315,0.666667
v1,11800,326,0.641026
v1,11850,337,0.632911
v1,11900,343,0.609756
v1,11950,349,0.595238
v1,12000,356,0.574713
v1,12050,365,0.561798
v1,12100,376,0.549451
v1,12150,391,0.531915
v1,12200,403,0.520833
v1,12250,411,0.510204
v1,12300,420,0.5
v1,12350,428,0.485437
v1,12400,438,0.458716
v1,12450,446,0.446429
v1,12500,457,0.431034
v1,12550,467,0.423729
v1,12600,477,0.416667
v1,12650,489,0.403226
v1,12700,499,0.4
v1,12750,508,0.387597
v1,12800,516,0.381679
v1,12850,525,0.37037
v1,12900,538,0.362319
v1,12950,551,0.352113
v1,13000,567,0.344828
v1,13050,581,0.337838
v1,13100,593,0.324675
v1,13150,605,0.314465
v1,13200,619,0.308642
v1,13250,625,0.304878
v1,13300,641,0.295858
v1,13350,655,0.292398
v1,13400,671,0.27933
v1,13450,693,0.268817
v1,13500,708,0.26178
v1,13550,723,0.255102
v1,13600,738,0.246305
v1,13650,765,0.235849
v1,13700,786,0.231481
v1,13750,807,0.228311
v1,13800,822,0.226244
v1,13850,849,0.220264
v1,13900,863,0.21645
v1,13950,882,0.212766
v1,14000,903,0.205761
v1,14050,918,0.201613
v1,14100,934,0.19685
v1,14150,952,0.192308
v1,14200,971,0.18797
v1,14250,994,0.184502
v1,14300,1013,0.181159
v1,14350,1036,0.174825
v1,14400,1053,0.167785
v1,14450,1075,0.166113
v1,14500,1100,0.162338
v1,14550,1128,0.157729
v1,14600,1154,0.153374
v1,14650,1174,0.150602
v1,14700,1202,0.147059
v1,14750,1227,0.143678
v1,14800,1259,0.140056
v1,14850,1287,0.137741
v1,14900,1317,0.133333
v1,14950,1343,0.128205
v1,15000,1381,0.125313
v1,15050,1412,0.122249
v1,15100,1453,0.119048
v1,15150,1489,0.114943
v1,15200,1529,0.111857
v1,15250,1565,0.108932
v1,15300,1609,0.106838
v1,15350,1631,0.10352
v1,15400,1664,0.101833
v1,15450,1704,0.099404
v1,15500,1738,0.096899
v1,15550,1784,0.093809
v1,15600,1824,0.091743
v1,15650,1858,0.09058
v1,15700,1892,0.087873
v1,15750,1920,0.086207
v1,15800,1962,0.084459
v1,15850,1998,0.083056
v1,15900,2044,0.080906
v1,15950,2089,0.079618
v1,16000,2137,0.077042
v1,16050,2185,0.07485
v1,16100,2226,0.073206
v1,16150,2264,0.071839
v1,16200,2319,0.070323
v1,16250,2359,0.068399
v1,16300,2417,0.066489
v1,16350,2463,0.065104
v1,16400,2520,0.063613
v1,16450,2589,0.062112
v1,16500,2647,0.060386
v1,16550,2705,0.058962
v1,16600,2768,0.057078
v1,16650,2822,0.055804
v1,16700,2877,0.054466
v1,16750,2942,0.051813
v1,16800,3016,0.04995
v1,16850,3098,0.04902
v1,16900,3162,0.047664
v1,16950,3233,0.046555
v1,17000,3301,0.045704
v1,17050,3371,0.044843
v1,17100,3443,0.044444
v1,17150,3511,0.043592
v1,17200,3587,0.042808
v1,17250,3661,0.041017
v1,17300,3738,0.040161
v1,17350,3816,0.039557
v1,17400,3900,0.037994
v1,17450,3972,0.037341
v1,17500,4050,0.036523
v1,17550,4139,0.035562
v1,17600,4213,0.035236
v1,17650,4293,0.034223
v1,17700,4383,0.033289
v1,17750,4463,0.03268
v1,17800,4571,0.031606
v1,17850,4675,0.030902
v1,17900,4774,0.029922
v1,17950,4885,0.029223
v1,18000,5005,0.028233
v1,18050,5125,0.027382
v1,18100,5245,0.026795
v1,18150,5372,0.02584
v1,18200,5497,0.0251
v1,18250,5620,0.024438
v1,18300,5741,0.023618
v1,18350,5880,0.023137
v1,18400,6007,0.022411
v1,18450,6164,0.021853
v1,18500,6312,0.02124
v1,18550,6449,0.020576
v1,18600,6598,0.020048
v1,18650,6768,0.019433
v1,18700,6929,0.018776
v1,18750,7075,0.018222
v1,18800,7216,0.017624
v1,18850,7375,0.017218
v1,18900,7547,0.016667
v1,18950,7710,0.01601
v1,19000,7865,0.015635
v1,19050,8023,0.015152
v1,19100,8218,0.01462
v1,19150,8395,0.014116
v1,19200,8556,0.013517
v1,19250,8752,0.013242
v1,19300,8959,0.012957
v1,19350,9133,0.012585
v1,19400,9313,0.01227
v1,19450,9501,0.012028
v1,19500,9701,0.011688
v1,19550,9908,0.011397
v1,19600,10156,0.010891
v1,19650,10402,0.010544
v1,19700,10630,0.010221
v1,19750,10905,0.010036
v1,19800,11188,0.00969
v1,19850,11469,0.009027
v1,19900,11722,0.008787
v1,19950,11993,0.00861
v1,20000,12300,0.008314
v1,20050,12576,0.008062
v1,20100,12851,0.007923
