iteration,adaptive_cells,v1_cells,adaptive_mean_pressure,v1_mean_pressure,rel_dev_pct
9750,125.0,129.0,161.1328,162.588295,0.8952
9800,127.0,129.0,160.725039,163.991473,1.9918
9850,130.0,129.0,159.772308,163.05814,2.0151
9900,132.0,133.0,161.649167,161.01609,0.3932
9950,135.0,138.0,162.475926,160.252609,1.3874
10000,141.0,141.0,163.786028,164.467234,0.4142
10050,144.0,144.0,166.995278,163.971389,1.8442
10100,145.0,150.0,164.451103,163.84324,0.371
10150,150.0,151.0,161.104667,168.983576,4.6625
10200,154.0,153.0,165.278442,170.002745,2.779
10250,158.0,161.0,165.993291,169.673851,2.1692
10300,161.0,166.0,163.829938,172.708855,5.141
10350,165.0,171.0,165.425939,172.345731,4.0151
10400,169.0,175.0,168.485444,172.630343,2.401
10450,174.0,181.0,168.558161,174.155138,3.2138
10500,183.0,182.0,169.640328,174.975934,3.0493
10550,187.0,187.0,172.886952,171.078717,1.057
10600,193.0,194.0,173.51228,171.872371,0.9541
10650,201.0,203.0,170.798109,175.97965,2.9444
10700,205.0,205.0,170.663512,177.849756,4.0406
10750,209.0,209.0,172.997416,174.90311,1.0896
10800,211.0,217.0,172.590853,175.113088,1.4403
10850,214.0,219.0,170.785514,178.359817,4.2466
10900,218.0,222.0,170.263303,175.817387,3.159
10950,224.0,222.0,171.875268,172.456667,0.3371
11000,231.0,228.0,172.81532,172.035965,0.453
11050,235.0,236.0,174.374043,172.328559,1.187
11100,238.0,239.0,174.501513,173.106151,0.8061
11150,245.0,241.0,173.713143,172.609544,0.6394
11200,250.0,245.0,174.438844,172.881306,0.9009
11250,254.0,251.0,175.060039,173.318207,1.005
11300,259.0,262.0,174.713436,172.351603,1.3704
11350,261.0,265.0,174.393103,173.607925,0.4523
11400,266.0,270.0,173.788872,175.146815,0.7753
11450,271.0,277.0,173.004934,175.586823,1.4704
11500,282.0,286.0,174.708865,176.94,1.261
11550,287.0,289.0,175.83899,178.341834,1.4034
11600,292.0,292.0,175.152192,177.279795,1.2001
11650,296.0,298.0,175.028311,175.806812,0.4428
11700,303.0,307.0,176.212211,176.427134,0.1218
11750,311.0,315.0,175.686238,177.911048,1.2505
11800,327.0,326.0,178.668575,179.771319,0.6134
11850,335.0,337.0,181.976955,182.186528,0.115
11900,347.0,343.0,182.521499,182.624461,0.0564
11950,350.0,349.0,183.294686,182.891404,0.2205
12000,363.0,356.0,185.278623,183.976938,0.7075
12050,370.0,365.0,188.751324,184.100548,2.5262
12100,378.0,376.0,188.772275,185.235402,1.9094
12150,390.0,391.0,187.905333,186.919437,0.5274
12200,400.0,403.0,189.4902,188.013151,0.7856
12250,408.0,411.0,189.955804,189.244453,0.3759
12300,415.0,420.0,190.666169,192.373262,0.8874
12350,423.0,428.0,189.340047,193.834486,2.3187
12400,430.0,438.0,190.158349,193.880719,1.9199
12450,437.0,446.0,190.260206,195.375834,2.6184
12500,445.0,457.0,189.226719,195.537615,3.2275
12550,453.0,467.0,187.624393,192.903726,2.7368
12600,460.0,477.0,186.615913,192.209392,2.9101
12650,476.0,489.0,186.477731,192.697454,3.2277
12700,484.0,499.0,186.971756,192.022585,2.6303
12750,496.0,508.0,188.649153,191.505531,1.4915
12800,509.0,516.0,190.323556,192.13312,0.9418
12850,521.0,525.0,190.572013,192.43221,0.9667
12900,528.0,538.0,192.555682,191.968625,0.3058
12950,540.0,551.0,193.665315,192.661597,0.521
13000,559.0,567.0,195.155188,194.303034,0.4386
13050,567.0,581.0,196.712416,196.48463,0.1159
13100,578.0,593.0,197.580138,197.807061,0.1147
13150,590.0,605.0,197.73339,198.680347,0.4766
13200,611.0,619.0,198.377087,200.136769,0.8792
13250,627.0,625.0,200.988836,201.72728,0.3661
13300,645.0,641.0,201.495969,201.459236,0.0182
13350,659.0,655.0,202.18742,203.191267,0.494
13400,676.0,671.0,204.222027,204.299165,0.0378
13450,695.0,693.0,204.797381,204.272554,0.2569
13500,719.0,708.0,205.785063,204.880833,0.4413
13550,731.0,723.0,208.211902,206.700498,0.7312
