mode,iteration,cells,wall_hours
v1,5150,16,0.01389
v1,5200,16,0.01417
v1,5250,16,0.01472
v1,5300,16,0.015
v1,5350,16,0.01528
v1,5400,16,0.01583
v1,5450,16,0.01611
v1,5500,16,0.01667
v1,5550,16,0.01694
v1,5600,16,0.0175
v1,5650,16,0.01778
v1,5700,17,0.01833
v1,5750,17,0.01861
v1,5800,17,0.01917
v1,5850,17,0.01972
v1,5900,18,0.02028
v1,5950,18,0.02056
v1,6000,20,0.02139
v1,6050,20,0.02194
v1,6100,21,0.0225
v1,6150,23,0.02333
v1,6200,25,0.02417
v1,6250,27,0.025
v1,6300,27,0.02583
v1,6350,29,0.02667
v1,6400,29,0.0275
v1,6450,30,0.02861
v1,6500,31,0.02944
v1,6550,31,0.03028
v1,6600,31,0.03139
v1,6650,31,0.0325
v1,6700,32,0.03333
v1,6750,32,0.03444
v1,6800,32,0.03556
v1,6850,32,0.03667
v1,6900,32,0.03778
v1,6950,33,0.03889
v1,7000,33,0.04028
v1,7050,33,0.04139
v1,7100,35,0.0425
v1,7150,35,0.04389
v1,7200,37,0.04528
v1,7250,37,0.04667
v1,7300,37,0.04806
v1,7350,38,0.04972
v1,7400,39,0.05111
v1,7450,41,0.05278
v1,7500,45,0.05472
v1,7550,46,0.05667
v1,7600,49,0.05889
v1,7650,50,0.06139
v1,7700,52,0.06361
v1,7750,54,0.06583
v1,7800,57,0.06806
v1,7850,57,0.07056
v1,7900,58,0.07278
v1,7950,60,0.07556
v1,8000,60,0.07806
v1,8050,60,0.08056
v1,8100,62,0.08306
v1,8150,64,0.08611
v1,8200,65,0.08889
v1,8250,66,0.09194
v1,8300,66,0.095
v1,8350,67,0.09806
v1,8400,68,0.10111
v1,8450,68,0.10417
v1,8500,70,0.1075
v1,8550,71,0.11111
v1,8600,73,0.11472
v1,8650,76,0.11806
v1,8700,76,0.12194
v1,8750,77,0.12556
v1,8800,77,0.12944
v1,8850,82,0.13333
v1,8900,82,0.1375
v1,8950,89,0.14194
v1,9000,93,0.14667
v1,9050,93,0.15139
v1,9100,94,0.15611
v1,9150,98,0.16111
v1,9200,103,0.16639
v1,9250,104,0.17167
v1,9300,105,0.17694
v1,9350,106,0.1825
v1,9400,109,0.18806
v1,9450,113,0.19389
v1,9500,116,0.20028
v1,9550,116,0.20639
v1,9600,120,0.21278
v1,9650,124,0.21944
v1,9700,125,0.22611
v1,9750,129,0.23333
v1,9800,129,0.24056
v1,9850,129,0.24778
v1,9900,133,0.25528
v1,9950,138,0.26333
v1,10000,141,0.27139
v1,10050,144,0.27972
v1,10100,150,0.28861
v1,10150,151,0.29722
v1,10200,153,0.30611
v1,10250,161,0.31556
v1,10300,166,0.32528
v1,10350,171,0.33528
v1,10400,175,0.34611
v1,10450,181,0.35722
v1,10500,182,0.36833
v1,10550,187,0.37972
v1,10600,194,0.39167
v1,10650,203,0.40389
v1,10700,205,0.41611
v1,10750,209,0.42861
v1,10800,217,0.44139
v1,10850,219,0.45472
v1,10900,222,0.46833
v1,10950,222,0.48194
v1,11000,228,0.49583
v1,11050,236,0.51056
v1,11100,239,0.52528
v1,11150,241,0.54056
v1,11200,245,0.55583
v1,11250,251,0.57167
v1,11300,262,0.58806
v1,11350,265,0.60556
v1,11400,270,0.62333
v1,11450,277,0.64167
v1,11500,286,0.66056
v1,11550,289,0.67972
v1,11600,292,0.69917
v1,11650,298,0.71917
v1,11700,307,0.73972
v1,11750,315,0.76056
v1,11800,326,0.78222
v1,11850,337,0.80417
v1,11900,343,0.82694
v1,11950,349,0.85028
v1,12000,356,0.87444
v1,12050,365,0.89917
v1,12100,376,0.92444
v1,12150,391,0.95056
v1,12200,403,0.97722
v1,12250,411,1.00444
v1,12300,420,1.03222
v1,12350,428,1.06083
v1,12400,438,1.09111
v1,12450,446,1.12222
v1,12500,457,1.15444
v1,12550,467,1.18722
v1,12600,477,1.22056
v1,12650,489,1.255
v1,12700,499,1.28972
v1,12750,508,1.32556
v1,12800,516,1.36194
v1,12850,525,1.39944
v1,12900,538,1.43778
v1,12950,551,1.47722
v1,13000,567,1.5175
v1,13050,581,1.55861
v1,13100,593,1.60139
v1,13150,605,1.64556
v1,13200,619,1.69056
v1,13250,625,1.73611
v1,13300,641,1.78306
v1,13350,655,1.83056
v1,13400,671,1.88028
v1,13450,693,1.93194
v1,13500,708,1.985
v1,13550,723,2.03944
v1,13600,738,2.09583
v1,13650,765,2.15472
v1,13700,786,2.21472
v1,13750,807,2.27556
v1,13800,822,2.33694
v1,13850,849,2.4
v1,13900,863,2.46417
v1,13950,882,2.52944
v1,14000,903,2.59694
v1,14050,918,2.66583
v1,14100,934,2.73639
v1,14150,952,2.80861
v1,14200,971,2.8825
v1,14250,994,2.95778
v1,14300,1013,3.03444
v1,14350,1036,3.11389
v1,14400,1053,3.19667
v1,14450,1075,3.28028
v1,14500,1100,3.36583
v1,14550,1128,3.45389
v1,14600,1154,3.54444
v1,14650,1174,3.63667
v1,14700,1202,3.73111
v1,14750,1227,3.82778
v1,14800,1259,3.92694
v1,14850,1287,4.02778
v1,14900,1317,4.13194
v1,14950,1343,4.24028
v1,15000,1381,4.35111
v1,15050,1412,4.46472
v1,15100,1453,4.58139
v1,15150,1489,4.70222
v1,15200,1529,4.82639
v1,15250,1565,4.95389
v1,15300,1609,5.08389
v1,15350,1631,5.21806
v1,15400,1664,5.35444
v1,15450,1704,5.49417
v1,15500,1738,5.6375
v1,15550,1784,5.78556
v1,15600,1824,5.93694
v1,15650,1858,6.09028
v1,15700,1892,6.24833
v1,15750,1920,6.40944
v1,15800,1962,6.57389
v1,15850,1998,6.74111
v1,15900,2044,6.91278
v1,15950,2089,7.08722
v1,16000,2137,7.2675
v1,16050,2185,7.45306
v1,16100,2226,7.64278
v1,16150,2264,7.83611
v1,16200,2319,8.03361
v1,16250,2359,8.23667
v1,16300,2417,8.44556
v1,16350,2463,8.65889
v1,16400,2520,8.87722
v1,16450,2589,9.10083
